,Address,City,County,FRS Id,Facility Id,Facility Name,Is_Direct_Emitter,Is_Supplier,Latest Reported Industry Type (sectors),Latest Reported Industry Type (subparts),Latitude,Longitude,Parent Company,Parent Ownership %,Primary NAICS Code,State,Unnamed: 0,Last Reporting Year,Zip Code,Total Direct Emissions,Total Supplier Emissions,Total Emissions,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply ,Direct Point Emitters,Onshore Oil & Gas Prod.,Gathering & Boosting,Transmission Pipelines,LDC - Direct Emissions,SF6 from Elec. Equip.
5375,2524 SOUTH SPRIGG STREET,CAPE GIRARDEAU,CAPE GIRARDEAU COUNTY,110000442423.0,1006112,LONE STAR INDUSTRIES,Yes,No,Minerals,"C,H",37.2676,-89.5385,RC LONESTAR INC,100.0,327310.0,MO,109715,2023,63701.0,11525926.39,0.0,11525926.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11525926.39,0.0,0.0,0.0,0.0,0.0
5376,8105 SOUTH LASSEN,SAN JOAQUIN,Fresno,110001157523.0,1006113,"Fresno Cogeneration Partners, LP",Yes,No,Power Plants,D,36.6183,-120.1,Fresno Power Investors LP,75.0,221112.0,CA,45105,2015,93660.0,68594.348,0.0,68594.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68594.348,0.0,0.0,0.0,0.0,0.0
5377,13179 N 100 E,ALEXANDRIA,MADISON COUNTY,110037389224.0,1006114,POET BIOREFINING ALEXANDRIA,Yes,No,Other,C,40.294347,-85.654444,POET LLC,100.0,325193.0,IN,109716,2023,46001.0,1482642.416,0.0,1482642.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1482642.416,0.0,0.0,0.0,0.0,0.0
5378,36597 HWY 30,GEISMAR,ASCENSION PARISH,110070712127.0,1006115,AIR LIQUIDE AMERICA CORP.,Yes,No,Chemicals,C,30.21023,-90.99085,AMERICAN AIR LIQUIDE HOLDINGS INC,100.0,325120.0,LA,109717,2023,70734.0,5362175.856,0.0,5362175.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5362175.856,0.0,0.0,0.0,0.0,0.0
5379,631 COUNTY ROAD 101,CAMPBELL,Dunklin,110071160790.0,1006116,St. Francis Power Plant,Yes,No,Power Plants,"C,D",36.5852,-90.1779,ASSOCIATED ELECTRIC COOPERATIVE INC,100.0,221112.0,MO,109718,2023,63933.0,5000755.984,0.0,5000755.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000755.984,0.0,0.0,0.0,0.0,0.0
5380,14543 HUDSON KROHN RD,BILOXI,HARRISON COUNTY,110014020200.0,1006117,GULF PINES LANDFILL,Yes,No,Waste,HH,30.497528,-88.942694,REPUBLIC SERVICES INC,100.0,562212.0,MS,93608,2021,39532.0,24341.25,0.0,24341.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24341.25,0.0,0.0,0.0,0.0,0.0
5381,3315 Loop 534,KERRVILLE,KERR,110034170830.0,1006118,KERRVILLE LANDFILL,Yes,No,Waste,HH,30.0283,-99.1056,CITY OF KERRVILLE,100.0,562212.0,TX,45110,2015,78028.0,52032.0,0.0,52032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52032.0,0.0,0.0,0.0,0.0,0.0
5382,5210 U S HIGHWAY 421 NORTH,WILMINGTON,NEW HANOVER COUNTY,110018631248.0,1006119,NEW HANOVER COUNTY SECURE LANDFILL,Yes,No,Waste,HH,34.32188,-77.99312,COUNTY OF NEW HANOVER NORTH CAROLINA,100.0,562212.0,NC,109719,2023,28401.0,1602970.0,0.0,1602970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1602970.0,0.0,0.0,0.0,0.0,0.0
5383,17042 State Highway 60 South,BAY CITY,MATAGORDA COUNTY,110006126717.0,1006120,EQUISTAR CHEMICALS LP MATAGOR DA FACILITY,Yes,No,Other,C,28.7875,-95.943056,LYONDELLBASELL INDUSTRIES INC,100.0,325211.0,TX,109720,2023,77414.0,464905.93,0.0,464905.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464905.93,0.0,0.0,0.0,0.0,0.0
5384,402 NORTH 10TH AVENUE,MARSHALLTOWN,MARSHALL COUNTY,110014393325.0,1006121,JBS SWIFT,Yes,No,"Other,Waste","C,II",42.054417,-92.897944,JBA USA HOLDINGS LLC,100.0,311612.0,IA,109721,2023,50158.0,639146.7239999999,0.0,639146.7239999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639146.7239999999,0.0,0.0,0.0,0.0,0.0
5385,6175 HIGHLAND AVE,BEAUMONT,JEFFERSON COUNTY,110015744523.0,1006122,SPINDLETOP COMPRESSOR STATION,Yes,No,Petroleum and Natural Gas Systems,"C,W-NGTC,W-UNSTG",30.025245,-94.078831,ENTERGY CORP,50.0,486210.0,TX,109722,2023,77705.0,456805.12262,0.0,456805.12262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456805.12262,0.0,0.0,0.0,0.0,0.0
5386,121 LAKE STREET,GYPSUM,OTTAWA COUNTY,110007384534.0,1006123,US GYPSUM - GYPSUM PLANT,Yes,No,Minerals,C,41.50422,-82.870783,USG CORP,100.0,327420.0,OH,109723,2023,43433.0,400000.58400000003,0.0,400000.58400000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.58400000003,0.0,0.0,0.0,0.0,0.0
5387,,CANADIAN,HEMPHILL,110000506060.0,1006124,PHOENIX - ARRINGTON RANCH GAS PLANT,Yes,No,Petroleum and Natural Gas Systems,"C,W-PROC",35.7332,-100.4869,REGENCY ENERGY PARTNERS LP,100.0,211112.0,TX,45116,2015,79014.0,170853.054,0.0,170853.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170853.054,0.0,0.0,0.0,0.0,0.0
5388,,STANTON,Martin,110000716798.0,1006125,SALE RANCH GAS PLANT,Yes,No,Petroleum and Natural Gas Systems,"C,W-PROC",32.210942,-101.935155,"WTG GAS PROCESSING, LP",100.0,211112.0,TX,36642,2014,79782.0,162481.368,0.0,162481.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162481.368,0.0,0.0,0.0,0.0,0.0
5389,119 BIRDSEYE STREET,CLYDE,SANDUSKY COUNTY,110070081936.0,1006126,WHIRLPOOL CORP,Yes,No,Other,C,41.30931,-82.98139,WHIRLPOOL CORP,100.0,335220.0,OH,77394,2019,43410.0,255662.888,0.0,255662.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255662.888,0.0,0.0,0.0,0.0,0.0
5390,250 Hamilton Ave,Palo Alto,SANTA CLARA COUNTY,110071161349.0,1006127,City of Palo Alto Gas Utility,No,Yes,,NN-LDC,37.44482,-122.16064,CITY OF PALO ALTO CALIFORNIA,100.0,221210.0,CA,109724,2023,94301.0,403.7,2105968.9,2106372.6,0.0,0.0,0.0,0.0,2105968.9,0.0,0.0,403.7,0.0,0.0,0.0,0.0,0.0
5391,709 SWEDELAND ROAD,KING OF PRUSSIA,MONTGOMERY COUNTY,110004849870.0,1006128,GLAXOSMITHKLINE KING OF PRUSSIA FAC,Yes,No,Chemicals,C,40.078922,-75.33297,GLAXOSMITHKLINE SL HOLDINGS INC,100.0,325412.0,PA,93615,2021,19406.0,273516.19,0.0,273516.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273516.19,0.0,0.0,0.0,0.0,0.0
5392,144 1ST ST.,MENOMINEE,MENOMINEE COUNTY,110000412394.0,1006129,"Menominee Acquisition Corporation, d/b/a Dunn Paper - Menominee",Yes,No,Pulp and Paper,C,45.099363,-87.59808,DUNN PAPER HOLDINGS INC,100.0,322121.0,MI,85516,2020,49858.0,316771.184,0.0,316771.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316771.184,0.0,0.0,0.0,0.0,0.0
5393,252 Shunpike Road,Cromwell,MIDDLESEX COUNTY,110071161001.0,1006130,Cromwell,Yes,No,Petroleum and Natural Gas Systems,"C,W-NGTC",41.631747,-72.676381,Enbridge (US) Inc,100.0,486210.0,CT,109725,2023,6416.0,837844.3219999999,0.0,837844.3219999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837844.3219999999,0.0,0.0,0.0,0.0,0.0
5394,18455 WELD COUNTY RD 35,GILCREST,WELD COUNTY,110010691750.0,1006131,MEWBOURN GAS PLANT,Yes,No,Petroleum and Natural Gas Systems,"C,W-PROC",40.266583,-104.734944,PHILLIPS 66,86.8,211130.0,CO,109726,2023,80623.0,3285738.4988,0.0,3285738.4988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3285738.4988,0.0,0.0,0.0,0.0,0.0
5395,700 56TH AVENUE,ZEELAND,OTTAWA COUNTY,110002025736.0,1006132,AUTUMN HILLS RECYCLING AND DISPOSAL FACILITY,Yes,No,Waste,"C,HH",42.780647,-85.920569,WASTE MANAGEMENT INC,100.0,562212.0,MI,109727,2023,49464.0,1151419.353829,0.0,1151419.353829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1151419.353829,0.0,0.0,0.0,0.0,0.0
5396,16122 RIVER RD.,NORCO,SAINT CHARLES,110024471668.0,1006133,SHELL CHEMICAL LP - NORCO CHEMICAL PLANT WEST SITE,Yes,No,Chemicals,C,29.99904,-90.42335,SHELL CHEMICAL LP,100.0,325110.0,LA,36650,2014,70079.0,52823.7,0.0,52823.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52823.7,0.0,0.0,0.0,0.0,0.0
5397,493 LANDFILL RD,MINDEN,WEBSTER PARISH,110013980558.0,1006135,WEBSTER PARISH LANDFILL,Yes,No,Waste,HH,32.63273,-93.39045,REPUBLIC SERVICES INC,100.0,562212.0,LA,109728,2023,71055.0,484271.05,0.0,484271.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484271.05,0.0,0.0,0.0,0.0,0.0
5398,3084 W CR 225 S,LOGANSPORT,CASS COUNTY,110000401459.0,1006136,Heidelberg Materials,Yes,No,Minerals,"C,H",40.734521,-86.433441,HEIDELBERG MATERIALS US CEMENT LLC,100.0,327310.0,IN,109729,2023,46947.0,4854020.892,0.0,4854020.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4854020.892,0.0,0.0,0.0,0.0,0.0
5399,230 CEMENT ROAD,INKOM,BANNOCK,110000468342.0,1006137,ASH GROVE CEMENT - INKOM,Yes,No,Minerals,C,42.79098,-112.25082,ASH GROVE CEMENT CO,100.0,327310.0,ID,20018,2012,83245.0,679.548,0.0,679.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.548,0.0,0.0,0.0,0.0,0.0
5400,1250 CHICAGO ST.,MILTON,ROCK COUNTY,110023153969.0,1006138,"UNITED ETHANOL, LLC",Yes,Yes,Other,C,42.75991,-88.91711,UNITED ETHANOL LLC,100.0,325193.0,WI,109730,2023,53563.0,1178101.866,0.0,1178101.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178101.866,0.0,0.0,0.0,0.0,0.0
5401,34759 LENCIONI AVE,BAKERSFIELD,KERN COUNTY,110028037363.0,1006139,BEAR MOUNTAIN LIMITED,Yes,No,Power Plants,D,35.44735,-119.08652,BEAR MOUNTAIN LTD,100.0,221112.0,CA,109731,2023,93308.0,957547.288,0.0,957547.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957547.288,0.0,0.0,0.0,0.0,0.0
5402,703 S MOHAWK,HUTCHINSON,RENO COUNTY,110043790145.0,1006140,RENO COUNTY MUNICIPAL SOLID WASTE LANDFILL,Yes,No,Waste,"C,HH",38.04254,-97.99561,RENO COUNTY KANSAS,100.0,562212.0,KS,109732,2023,67501.0,1514890.7,0.0,1514890.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514890.7,0.0,0.0,0.0,0.0,0.0
5403,2779 IA HWY 24,LAWLER,CHICKASAW COUNTY,110031117716.0,1006141,HOMELAND ENERGY SOLUTIONS LLC,Yes,No,Other,C,43.073373,-92.138309,HOMELAND ENERGY SOLUTIONS LLC,100.0,325193.0,IA,109733,2023,52154.0,3134928.65,0.0,3134928.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3134928.65,0.0,0.0,0.0,0.0,0.0
5404,1 HEILMAN AVENUE,WILLOW ISLAND,PLEASANTS COUNTY,110000344850.0,1006142,CYTEC INDUSTRIES INC,Yes,No,Chemicals,C,39.355575,-81.299838,CYTEC INDUSTRIES INC,100.0,325199.0,WV,109734,2023,26134.0,535050.936,0.0,535050.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535050.936,0.0,0.0,0.0,0.0,0.0
5405,4396 Hwy 741,Kosciusko,ATTALA COUNTY,110071159920.0,1006143,Kosciusko,Yes,No,Petroleum and Natural Gas Systems,"C,W-NGTC",33.123225,-89.587482,Enbridge (US) Inc,100.0,486210.0,MS,109735,2023,39090.0,307470.68,0.0,307470.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307470.68,0.0,0.0,0.0,0.0,0.0
5406,3630 4TH STREET,FLOWOOD,RANKIN COUNTY,110000376664.0,1006144,NUCOR STEEL JACKSON INC,Yes,No,Metals,"C,Q",32.312167,-90.137278,NUCOR CORP,100.0,331110.0,MS,109736,2023,39232.0,1141035.95,0.0,1141035.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141035.95,0.0,0.0,0.0,0.0,0.0
5407,22828 NC HIGHWAY 87 WEST,FAYETTEVILLE,BLADEN COUNTY,110000559609.0,1006145,CHEMOURS COMPANY - FAYETTEVILLE WORKS,Yes,Yes,"Chemicals,Industrial Gas Suppliers","C,L,OO",34.8419,-78.8388,THE CHEMOURS CO,100.0,325120.0,NC,109737,2023,28306.0,5122008.561149,0.0,5122008.561149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5122008.561149,0.0,0.0,0.0,0.0,0.0
5408,"2310 CENTRAL AVE, SUITE 100",EIELSON AFB,FAIRBANKS NORTH STAR BOROUGH,110041255003.0,1006146,EIELSON AIR FORCE BASE,Yes,No,Other,C,64.668863,-147.087742,US GOVERNMENT,,928110.0,AK,109738,2023,99702.0,5220083.318,0.0,5220083.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5220083.318,0.0,0.0,0.0,0.0,0.0
5409,111 BUSCH DR.,JACKSONVILLE,DUVAL COUNTY,110000362036.0,1006147,ANHEUSER-BUSCH LLC,Yes,Yes,"Other,Suppliers of CO2","C,PP",30.432822,-81.647706,ANHEUSER-BUSCH COS LLC,100.0,312120.0,FL,109739,2023,32218.0,806155.6,0.0,806155.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806155.6,0.0,0.0,0.0,0.0,0.0
5410,6000 DEAKLE ROAD,THEODORE,MOBILE COUNTY,110008998709.0,1006148,Onshore Treating Facility,Yes,No,Petroleum and Natural Gas Systems,"C,W-PROC",30.4319,-88.1825,W&T OFFSHORE INC,100.0,211130.0,AL,109740,2023,36582.0,2228247.7,0.0,2228247.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2228247.7,0.0,0.0,0.0,0.0,0.0
5411,17621 SCOFIELD AVENUE,SHAFTER,KERN,110014324178.0,1006149,SHAFTER-WASCO SANITARY LANDFILL,Yes,No,Waste,HH,35.511089,-119.407087,Kern County Waste Management Department,100.0,562212.0,CA,36664,2014,93263.0,39342.75,0.0,39342.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39342.75,0.0,0.0,0.0,0.0,0.0
5412,1450 Littrell Road 88 CEG/CEI,WPAFB,GREENE COUNTY,110071161218.0,1006150,U.S. AIR FORCE WRIGHT-PATTERSON AFB OH,Yes,No,Other,C,39.81373,-84.053745,US GOVERNMENT,100.0,928110.0,OH,109741,2023,45433.0,1463699.178,0.0,1463699.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463699.178,0.0,0.0,0.0,0.0,0.0
5413,20307 NE 150th Avenue,Pratt,KINGMAN COUNTY,110071159259.0,1006151,Cunningham Underground Storage & Compressor Station,Yes,No,Petroleum and Natural Gas Systems,"C,W-UNSTG",37.6831,-98.4648,BERKSHIRE HATHAWAY INC,100.0,486210.0,KS,109742,2023,67035.0,402619.734,0.0,402619.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402619.734,0.0,0.0,0.0,0.0,0.0
5414,14049 17th Ave.,Mullinville,KIOWA COUNTY,110071159260.0,1006152,Mullinville Compressor Station,Yes,No,Petroleum and Natural Gas Systems,"C,W-NGTC",37.575959,-99.478382,BERKSHIRE HATHAWAY INC,100.0,486210.0,KS,109743,2023,67109.0,607803.87,0.0,607803.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607803.87,0.0,0.0,0.0,0.0,0.0
5415,2092 303RD AVE,FORT MADISON,LEE COUNTY,110002349851.0,1006153,GREAT RIVER REGIONAL WASTE AUTHORITY SANITARY LANDFILL,Yes,No,Waste,"C,HH",40.654022,-91.316354,GREAT RIVER REGIONAL WASTE AUTHORITY,100.0,562212.0,IA,109744,2023,52627.0,664048.75,0.0,664048.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664048.75,0.0,0.0,0.0,0.0,0.0
5416,1508 East Schrock Road,Waterloo,BLACK HAWK COUNTY,110071159261.0,1006154,Waterloo Compressor Station,Yes,No,Petroleum and Natural Gas Systems,"C,W-NGTC",42.399463,-92.327859,BERKSHIRE HATHAWAY INC,100.0,486210.0,IA,109745,2023,50701.0,313666.49,0.0,313666.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313666.49,0.0,0.0,0.0,0.0,0.0
5417,29106 John J. Williams Highway,Millsboro,SUSSEX COUNTY,110035846172.0,1006155,"Mountaire Farms of Delaware, Inc.",Yes,No,"Other,Waste","C,II",38.6011,-75.2629,MOUNTAIRE CORP,100.0,311615.0,DE,109746,2023,19966.0,1142205.62,0.0,1142205.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142205.62,0.0,0.0,0.0,0.0,0.0
5418,800 EAST 7900 SOUTH,MINERSVILLE,BEAVER COUNTY,110071159262.0,1006156,KERN RIVER GAS TRANSMISSION COMPANY: MILFORD COMPRESSOR STATION,Yes,No,Petroleum and Natural Gas Systems,"C,W-NGTC",38.214136,-112.923562,BERKSHIRE HATHAWAY INC,100.0,486210.0,UT,109747,2023,84012.0,546999.916,0.0,546999.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546999.916,0.0,0.0,0.0,0.0,0.0
5419,,,,,1006158,CON EDISON - ELECTRIC TRANSMISSION & DISTRIBUTION SYSTEM,,,,,,,CONSOLIDATED EDISON INC,100.0,,,109748,2023,,1414296.9048,0.0,1414296.9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1414296.9048
5420,3353 Yankee Road,Middletown,BUTLER COUNTY,110046371500.0,1006159,SunCoke Energy Middletown Operations,Yes,No,Metals,"C,Q",39.47215,-84.39693,SUNCOKE ENERGY INC,100.0,324199.0,OH,109749,2023,45044.0,5092732.774,0.0,5092732.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5092732.774,0.0,0.0,0.0,0.0,0.0
5421,9096 South East 8000,Andrews,ANDREWS COUNTY,110055510852.0,1006160,MidMar West Gas Plant,Yes,No,Petroleum and Natural Gas Systems,"C,W-PROC",32.283891,-102.851484,ENLINK MIDSTREAM LLC,100.0,211130.0,TX,85542,2020,79714.0,1106598.532,0.0,1106598.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106598.532,0.0,0.0,0.0,0.0,0.0
5422,41237 Highway 22,Burnside,ASCENSION PARISH,110013406732.0,1006161,Almatis Burnside Inc,Yes,No,Metals,C,30.137458,-90.915388,ALMATIS INC,100.0,331313.0,LA,77424,2019,70738.0,1504142.236,0.0,1504142.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1504142.236,0.0,0.0,0.0,0.0,0.0
5423,3000 Vintage Blvd 300,Juneau,JUNEAU CITY AND BOROUGH,110071159263.0,1006162,Hecla Greens Creek Mine,Yes,No,Other,C,58.37149,-134.5975,HECLA GREENS CREEK MINE,100.0,212230.0,AK,109750,2023,99801.0,174516.288,0.0,174516.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174516.288,0.0,0.0,0.0,0.0,0.0
5424,15855 Jacintoport,Houston,HARRIS COUNTY,110070498744.0,1006163,HFOTCO LLC,Yes,No,Other,C,29.74902,-95.12227,ENERGY TRANSFER LP,100.0,493190.0,TX,109751,2023,77015.0,610074.522,0.0,610074.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610074.522,0.0,0.0,0.0,0.0,0.0
5425,"Road PR-2, Km 26.7",Dorado,DORADO MUNICIPIO,110000581004.0,1006164,"Argos Puerto Rico, Corp.",Yes,No,Minerals,"C,H",18.3944,-66.2976,ARGOS PUERTO RICO CORP,100.0,327310.0,PR,109752,2023,646.0,2002752.6900000002,0.0,2002752.6900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002752.6900000002,0.0,0.0,0.0,0.0,0.0
5426,6072 Hurricane Road,Pikeville,PIKE,110055510861.0,1006165,Boldman NG Liquids Extraction Facility,Yes,No,Petroleum and Natural Gas Systems,"C,W-PROC",37.500225,-82.589269,MARATHON PETROLEUM CO LP,100.0,211112.0,KY,45150,2015,41501.0,12545.308,0.0,12545.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12545.308,0.0,0.0,0.0,0.0,0.0
5427,72 Maple Street,Langley,FLOYD,110055510870.0,1006166,Langley NGL Extraction Facility,Yes,No,Petroleum and Natural Gas Systems,"C,W-PROC",37.52746,-82.80019,MPLX LP,100.0,211112.0,KY,53267,2016,41645.0,116370.554,0.0,116370.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116370.554,0.0,0.0,0.0,0.0,0.0
5428,,Garrison,NACOGDOCHES,110041624409.0,1006167,North Appleby Compressor Station,Yes,No,Petroleum and Natural Gas Systems,"C,W-PROC",31.805175,-94.526561,MPLX LP,100.0,486210.0,TX,53268,2016,75946.0,98815.726,0.0,98815.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98815.726,0.0,0.0,0.0,0.0,0.0
5429,16656 FM 1305,Poynor,ANDERSON,110055510889.0,1006168,Grizzly Fairway Gas Plant,Yes,No,Petroleum and Natural Gas Systems,"C,W-PROC",32.083562,-95.581728,VANGUARD NATURAL RESOURCES INC,100.0,211111.0,TX,61283,2017,75782.0,133380.20799999998,0.0,133380.20799999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133380.20799999998,0.0,0.0,0.0,0.0,0.0
5430,103 N. College ave,Tahlequah,CHEROKEE COUNTY,110071159265.0,1006170,Northeast Oklahoma Public Facilities Authority,No,Yes,,NN-LDC,36.031526,-94.935093,NORTHEAST OKLAHOMA PUBLIC FACILITIES AUTHORITY,100.0,221210.0,OK,109753,2023,74464.0,0.0,958366.2,958366.2,0.0,0.0,0.0,0.0,958366.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5431,1228 NORTH DENVER AVENUE,HASTINGS,ADAMS,110001505595.0,1006172,NORTH DENVER STATION,Yes,No,Power Plants,C,40.596501,-98.388461,CITY OF HASTINGS NE,100.0,221112.0,NE,45155,2015,68901.0,2919.8,0.0,2919.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2919.8,0.0,0.0,0.0,0.0,0.0
5432,71-111 QUEEN KAAHUMANU HWY,WAIKOLOA,HAWAII COUNTY,110034132542.0,1006173,WEST HAWAII LANDFILL / PUU ANAHULU,Yes,No,Waste,HH,19.904893,-155.883239,COUNTY OF HAWAII,100.0,562212.0,HI,109754,2023,96738.0,259010.3797,0.0,259010.3797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259010.3797,0.0,0.0,0.0,0.0,0.0
5433,30 Generation Lane,BUCKSPORT,HANCOCK COUNTY,110071161285.0,1006174,BUCKSPORT GENERATION LLC,Yes,No,Power Plants,"C,D",44.576944,-68.805556,AIM Development USA LLC,100.0,221112.0,ME,109755,2023,4416.0,4238454.113,0.0,4238454.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4238454.113,0.0,0.0,0.0,0.0,0.0
5434,43880 HARPER LAKE ROAD,HINKLEY,SAN BERNARDINO COUNTY,110021007426.0,1006175,LUZ SOLAR PARTNERS VIII & IX LTD.,Yes,No,Power Plants,C,35.03211,-117.34764,TERRA-GEN POWER LLC,100.0,221114.0,CA,109756,2023,92347.0,457656.132,0.0,457656.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457656.132,0.0,0.0,0.0,0.0,0.0
5435,29755 S PRAIRIE VIEW DR,WILMINGTON,WILL COUNTY,110021292199.0,1006176,PRAIRIE VIEW RECYCLING & DISPOSAL FAC,Yes,No,Waste,"C,HH",41.346305,-88.104911,WASTE MANAGEMENT INC,100.0,562212.0,IL,109757,2023,60481.0,2132926.272785,0.0,2132926.272785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2132926.272785,0.0,0.0,0.0,0.0,0.0
5436,9898 FURNACE ROAD,LORTON,FAIRFAX COUNTY,110001886987.0,1006177,OGDEN MARTIN SYS OF FAIRFAX,Yes,No,Waste,C,38.6954,-77.2407,COVANTA HOLDING CORP,100.0,562213.0,VA,109758,2023,22079.0,4844470.304,0.0,4844470.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4844470.304,0.0,0.0,0.0,0.0,0.0
5437,4150 PLATT RD,ANN ARBOR,WASHTENAW COUNTY,110043808136.0,1006178,ANN ARBOR SLF PHASE I & II,Yes,No,Waste,HH,42.22703,-83.69976,CITY OF ANN ARBOR MICHIGAN,100.0,562212.0,MI,109759,2023,48108.0,422080.0,0.0,422080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422080.0,0.0,0.0,0.0,0.0,0.0
5438,1601 DIXON LANDING ROAD,MILPITAS,SANTA CLARA COUNTY,110006533117.0,1006179,NEWBY ISLAND LANDFILL,Yes,No,Waste,HH,37.45973,-121.94164,REPUBLIC SERVICES INC,100.0,562212.0,CA,109760,2023,95035.0,1851583.5,0.0,1851583.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1851583.5,0.0,0.0,0.0,0.0,0.0
5439,9120 SULPHUR ROAD,SULPHUR,TRIMBLE COUNTY,110009935883.0,1006182,VALLEY VIEW LANDFILL,Yes,No,Waste,"C,HH",38.5035,-85.2905,REPUBLIC SERVICES INC,100.0,562212.0,KY,109761,2023,40070.0,546371.8,0.0,546371.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546371.8,0.0,0.0,0.0,0.0,0.0
5440,1303 WASHINGTON BLVD,TALLASSEE,TALLAPOOSA COUNTY,110031020838.0,1006183,STONE'S THROW LANDFILL,Yes,No,Waste,HH,32.514014,-85.828028,GFL ENVIRONMENTAL HOLDINGS (US) INC,100.0,562212.0,AL,109762,2023,36078.0,1842106.5,0.0,1842106.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1842106.5,0.0,0.0,0.0,0.0,0.0
5441,,MAYSVILLE,GARVIN COUNTY,110007385409.0,1006184,OFS GPRP Maysville,Yes,Yes,Petroleum and Natural Gas Systems,"C,W-PROC",34.8191778,-97.4426583,ONEOK INC,100.0,211130.0,OK,109763,2023,73057.0,2779437.876,5834040.5,8613478.376,0.0,0.0,0.0,0.0,0.0,5834040.5,0.0,2779437.876,0.0,0.0,0.0,0.0,0.0
